tipo,arquetipo,origen,destino
demanda_laboral,B,letrado,lexnet
despido_objetivo,B,letrado,lexnet
despido_colectivo,F,letrado,lexnet
papeleta_conciliacion,C,workflow,smac
reclamacion_cantidad,B,letrado,lexnet
impugnacion_sancion,A,secretario,lexnet
modificacion_sustancial,B,secretario,lexnet
extincion_art_50,E,letrado,lexnet
tutela_derechos_fundamentales,E,letrado,lexnet
demanda_seguridad_social,A,secretario,lexnet
reclamacion_previa_ss,H,secretario,admin
conflicto_colectivo,E,letrado,lexnet
recargo_prestaciones,A,letrado,lexnet
carta_despido,G,letrado,cliente
monitorio,B,letrado,lexnet
demanda_civil,E,letrado,lexnet
juicio_verbal,E,letrado,lexnet
contestacion_demanda,A,secretario,lexnet
recurso_apelacion,A,secretario,lexnet
juicio_cambiario,B,letrado,lexnet
nulidad_clausulas_abusivas,A,letrado,lexnet
reclamacion_danos,B,letrado,lexnet
division_cosa_comun,E,letrado,lexnet
demanda_desahucio,B,letrado,lexnet
desahucio_expiracion_plazo,E,letrado,lexnet
precario,E,letrado,lexnet
oposicion_ejecucion,A,secretario,lexnet
medidas_cautelares,I,letrado,lexnet
contrato_arrendamiento,G,letrado,cliente
divorcio_mutuo_acuerdo,E,letrado,lexnet
divorcio_contencioso,E,letrado,lexnet
convenio_regulador,G,letrado,cliente
medidas_paternofiliales,E,letrado,lexnet
modificacion_medidas,A,letrado,lexnet
reclamacion_alimentos,B,letrado,lexnet
liquidacion_gananciales,F,letrado,lexnet
medidas_apoyo,E,letrado,lexnet
orden_proteccion,D,letrado,lexnet
declaracion_herederos,E,letrado,notarial
cuaderno_particional,F,letrado,notarial
aceptacion_renuncia_herencia,G,letrado,notarial
impugnacion_testamento,A,letrado,lexnet
reclamacion_legitima,B,letrado,lexnet
denuncia_penal,D,letrado,policial
querella,D,letrado,lexnet
escrito_defensa,A,secretario,lexnet
escrito_acusacion,A,workflow,lexnet
personacion_acusacion_particular,I,secretario,lexnet
recurso_reforma,A,secretario,lexnet
recurso_apelacion_penal,A,secretario,lexnet
juicio_leve,E,secretario,lexnet
conformidad,B,workflow,lexnet
habeas_corpus,I,letrado,lexnet
libertad_provisional,I,letrado,lexnet
recurso_alzada,A,secretario,admin
recurso_reposicion,A,secretario,admin
alegaciones_sancionador,A,secretario,admin
responsabilidad_patrimonial,B,letrado,admin
reclamacion_economico_administrativa,A,secretario,admin
recurso_contencioso,A,secretario,lexnet
concurso_acreedores,F,letrado,lexnet
constitucion_sociedad,G,letrado,notarial
impugnacion_acuerdos_sociales,A,secretario,lexnet
responsabilidad_administradores,E,letrado,lexnet
pacto_socios,G,letrado,cliente
compraventa_participaciones,G,letrado,notarial
disolucion_liquidacion,F,letrado,notarial
reclamacion_cambiaria,B,letrado,lexnet
arraigo,E,letrado,admin
nacionalidad,E,letrado,admin
recurso_denegacion,A,secretario,admin
recurso_expulsion,A,secretario,admin
burofax_requerimiento,H,letrado,burofax
reclamacion_extrajudicial,H,letrado,burofax
acuerdo_transaccional,H,letrado,cliente
solicitud_mediacion,H,letrado,admin
suspension_vista,I,agenda,lexnet
aportacion_documental,I,workflow,lexnet
subsanacion_defectos,I,secretario,lexnet
proposicion_prueba,I,agenda,lexnet
desistimiento,I,letrado,lexnet
justicia_gratuita,I,letrado,admin
recurso_reposicion_procesal,I,secretario,lexnet
ejecucion_titulo_judicial,J,workflow,lexnet
ejecucion_hipotecaria,J,letrado,lexnet
ejecucion_familia,J,letrado,lexnet
hoja_encargo,G,letrado,cliente
minuta_honorarios,G,workflow,cliente
provision_fondos,G,letrado,cliente
